time,open,high,low,close
1780264800,7657.25,7659.25,7653.75,7657.5
1780264860,7657.25,7657.75,7654,7654.5
1780264920,7654.5,7655.25,7650,7650.5
1780264980,7650.75,7651.5,7648.5,7648.75
1780265040,7648.75,7650.5,7647.5,7649
1780265100,7649.5,7651.25,7649.5,7651.25
1780265160,7651.5,7651.5,7648,7649.25
1780265220,7649.25,7650.5,7648.75,7650.5
1780265280,7650.5,7651,7648.5,7649
1780265340,7649.5,7651,7649,7651
1780265400,7651.25,7653.75,7650,7653
1780265460,7652.75,7653.5,7652,7652.25
1780265520,7652.5,7653.25,7652.25,7653
1780265580,7653.5,7654.75,7653.5,7654.75
1780265640,7654.75,7657,7653.75,7657
1780265700,7656.5,7656.75,7655.75,7656
1780265760,7656.25,7657.25,7654.25,7656.75
1780265820,7656.75,7656.75,7655.75,7656
1780265880,7655.75,7657.25,7655.75,7656.75
1780265940,7656.75,7657.75,7656.25,7656.5
1780266000,7656.5,7656.5,7654.5,7655.25
1780266060,7655.5,7656.5,7654.5,7656
1780266120,7656,7658.25,7655.75,7657.5
1780266180,7657.5,7658.25,7656.25,7658.25
1780266240,7658.25,7659.75,7658,7658.75
1780266300,7658.75,7659.25,7657.5,7659.25
1780266360,7659.25,7659.75,7658.5,7659
1780266420,7659,7659.25,7658.5,7658.5
1780266480,7658.25,7658.75,7657.5,7658.75
1780266540,7658.5,7659.25,7657.75,7658
1780266600,7657.75,7661,7657.75,7660.25
1780266660,7660.25,7660.25,7658.75,7658.75
1780266720,7659,7660.25,7658.75,7660
1780266780,7660,7660.75,7659.5,7659.5
1780266840,7659.75,7660.25,7658.75,7660
1780266900,7659.75,7659.75,7658.25,7658.5
1780266960,7658.5,7659.75,7658.5,7659.5
1780267020,7659.5,7659.5,7657.5,7658.75
1780267080,7658.5,7659.25,7658,7658.75
1780267140,7658.75,7658.75,7658.5,7658.5
1780267200,7658.5,7660.25,7658.5,7659.75
1780267260,7659.5,7660.5,7659.5,7660.5
1780267320,7660.5,7660.75,7660,7660.25
1780267380,7660.5,7660.5,7660,7660.5
1780267440,7660.5,7662.25,7660.5,7662
1780267500,7662.25,7664,7662,7663.25
1780267560,7663,7664.5,7662.25,7663.25
1780267620,7663.25,7664.75,7663.25,7664.25
1780267680,7664.25,7664.75,7664,7664
1780267740,7664,7664.5,7663.5,7664.25
1780267800,7664.25,7665.5,7664,7664.5
1780267860,7664.5,7664.75,7664.5,7664.75
1780267920,7665,7665.25,7664.75,7665
1780267980,7665,7665,7664.25,7664.5
1780268040,7664.75,7664.75,7664,7664
1780268100,7664,7664.5,7663.75,7664
1780268160,7664.25,7664.5,7663.5,7664
1780268220,7664,7665,7664,7665
1780268280,7664.75,7665,7664,7665
1780268340,7664.75,7664.75,7663.25,7663.75
1780268400,7663.75,7664.25,7662.5,7663
1780268460,7663.25,7663.75,7663.25,7663.5
1780268520,7663.5,7664,7663.25,7663.75
1780268580,7664,7665.75,7664,7665.5
1780268640,7665.75,7666.25,7665,7665.25
1780268700,7665,7666,7665,7665
1780268760,7665,7665.5,7665,7665.5
1780268820,7665.25,7665.5,7665.25,7665.5
1780268880,7665.25,7665.5,7664.25,7665
1780268940,7664.75,7665.5,7664.75,7665.5
1780269000,7665.25,7665.5,7664.75,7665.25
1780269060,7665.25,7665.75,7665,7665.25
1780269120,7665.25,7665.75,7664.75,7665.75
1780269180,7665.75,7665.75,7665.5,7665.75
1780269240,7665.5,7666.25,7665.25,7665.25
1780269300,7665,7666,7665,7665
1780269360,7665.25,7665.25,7664.75,7665.25
1780269420,7665,7665.75,7665,7665.5
1780269480,7665.25,7665.5,7665,7665.5
1780269540,7665.25,7665.5,7665,7665.25
1780269600,7665.25,7665.75,7665.25,7665.75
1780269660,7665.75,7666,7664.75,7664.75
1780269720,7664.75,7664.75,7663,7663.5
1780269780,7663.75,7664,7663.75,7664
1780269840,7664,7664.75,7663.75,7663.75
1780269900,7663.75,7664.5,7663.75,7664
1780269960,7664.25,7664.5,7664.25,7664.5
1780270020,7664.5,7665.75,7664.25,7665.25
1780270080,7665.25,7667,7664.75,7666
1780270140,7666,7666.5,7666,7666
1780270200,7666.25,7667.5,7666,7666.75
1780270260,7667,7667.25,7665.5,7665.75
1780270320,7665.5,7667.25,7665.5,7666.5
1780270380,7666.5,7666.5,7665.25,7665.25
1780270440,7665.5,7666.25,7665.25,7666
1780270500,7665.75,7666,7665,7665
1780270560,7665.25,7665.75,7665,7665.5
1780270620,7665.5,7666.75,7665.5,7666.75
1780270680,7666.5,7666.75,7666,7666.5
1780270740,7666.25,7666.5,7665.25,7666.5
1780270800,7666.25,7666.25,7665.5,7665.75
1780270860,7666.25,7666.25,7665.75,7665.75
1780270920,7665.75,7665.75,7665.5,7665.5
1780270980,7665.5,7666,7665.5,7665.5
1780271040,7666,7666.75,7666,7666
1780271100,7666,7667,7665.5,7666.25
1780271160,7666,7666.25,7665.5,7666.25
1780271220,7665.75,7665.75,7665.25,7665.75
1780271280,7665.75,7666,7665.25,7665.5
1780271340,7665,7666.25,7665,7666
1780271400,7666,7667,7664.75,7667
1780271460,7666.75,7667.5,7666,7667.5
1780271520,7667.5,7668.75,7667.25,7667.75
1780271580,7667.5,7667.75,7667,7667.25
1780271640,7667.5,7667.75,7667.5,7667.75
1780271700,7667.5,7668.25,7667.25,7667.75
1780271760,7667.75,7667.75,7667.25,7667.75
1780271820,7667.5,7668.25,7667.5,7668
1780271880,7667.75,7668,7667,7667.25
1780271940,7667,7668,7667,7667.5
1780272000,7667.5,7668.5,7666.75,7668
1780272060,7668,7669.5,7668,7669
1780272120,7669,7671.25,7669,7671
1780272180,7671,7671.75,7670.75,7670.75
1780272240,7670.75,7671.75,7670,7671.5
