time,open,high,low,close
1780264800,30705,30730.25,30685,30714.5
1780264860,30713.5,30719.25,30688.5,30690.5
1780264920,30689.75,30703.75,30659.5,30664.75
1780264980,30667.25,30669,30650.75,30656
1780265040,30655,30666.75,30652,30661.25
1780265100,30662.25,30681.5,30662.25,30679.25
1780265160,30680.5,30682,30663.5,30667
1780265220,30668,30672,30661.25,30670.25
1780265280,30669.5,30675.5,30655.5,30658
1780265340,30658.5,30668.5,30658.25,30667
1780265400,30668.75,30690,30662.75,30686
1780265460,30686.75,30691,30678.5,30680.25
1780265520,30683,30688.25,30681.5,30687.75
1780265580,30687.75,30701.5,30687.75,30699.75
1780265640,30698.5,30710.5,30694.25,30709.75
1780265700,30709.25,30709.5,30704.75,30707.25
1780265760,30708,30708,30699.75,30702.5
1780265820,30703,30703.5,30697.5,30698.25
1780265880,30698.75,30709,30698,30704
1780265940,30704.5,30709.75,30699.25,30699.25
1780266000,30700.25,30701.5,30686.75,30690.25
1780266060,30692,30696.25,30685.75,30692.5
1780266120,30692.5,30710.5,30691.5,30708.75
1780266180,30707.25,30716.5,30702,30716.5
1780266240,30716.75,30723,30715.75,30717.75
1780266300,30717,30725.5,30710.5,30722.5
1780266360,30724.5,30727.5,30719.5,30721.75
1780266420,30721.5,30721.5,30715.75,30715.75
1780266480,30714.5,30719,30711.25,30719
1780266540,30719.25,30721.5,30713.25,30713.25
1780266600,30713.25,30735.25,30713,30730
1780266660,30729.75,30730.25,30721.75,30722.5
1780266720,30722.5,30728.5,30720.5,30725.75
1780266780,30725.5,30730.75,30724.5,30724.5
1780266840,30723.5,30729.5,30720,30727.75
1780266900,30727.25,30728,30722,30722.75
1780266960,30722.75,30732,30722.5,30728.75
1780267020,30728,30728,30716.75,30724
1780267080,30722.75,30728.25,30721.5,30724.5
1780267140,30724.5,30724.75,30723,30723.25
1780267200,30724,30731.5,30723.25,30729
1780267260,30729.25,30736.25,30728.5,30735.25
1780267320,30734,30734.25,30729.25,30731.75
1780267380,30732.5,30734,30728.75,30732.5
1780267440,30733,30743,30732,30743
1780267500,30743.25,30757.25,30742.75,30753.25
1780267560,30752.5,30762.5,30748.5,30754.25
1780267620,30753.25,30761,30753.25,30757
1780267680,30758.75,30762,30755.75,30756.5
1780267740,30756.25,30756.25,30751.5,30754.5
1780267800,30754.5,30760.75,30752.5,30754.5
1780267860,30755.75,30757.25,30754.5,30756.75
1780267920,30757.5,30761.5,30757.5,30758.25
1780267980,30757,30757,30752.75,30754.75
1780268040,30756,30758,30754,30754.5
1780268100,30754.25,30757.25,30749.75,30752.5
1780268160,30753,30755.5,30749.75,30752.25
1780268220,30751.25,30758.25,30749.5,30756
1780268280,30755.75,30758.5,30754.5,30757.75
1780268340,30757,30757,30741.5,30745
1780268400,30745.5,30751,30739.75,30744.5
1780268460,30745.25,30752.25,30745.25,30748.5
1780268520,30748.25,30752.25,30746.75,30751.75
1780268580,30752.25,30767,30752.25,30765.25
1780268640,30765.25,30768.5,30759.75,30762.5
1780268700,30762.75,30767.5,30759.5,30760.5
1780268760,30761.25,30762,30758.25,30761
1780268820,30761.75,30763.5,30759.75,30761.25
1780268880,30760.25,30760.25,30752.25,30754.75
1780268940,30754.75,30759,30753,30756.5
1780269000,30755.25,30755.75,30753,30755.25
1780269060,30754.5,30756.75,30751,30753.25
1780269120,30752.75,30757.25,30749.75,30757.25
1780269180,30757.25,30760.25,30757,30758.5
1780269240,30758.75,30762.25,30754.5,30754.5
1780269300,30754,30760.5,30753.5,30756
1780269360,30754.75,30758,30753.25,30756
1780269420,30755.25,30757.25,30754.5,30756.5
